,"('k6a 0',)","('k6a 1',)","('k6a 2',)","('k6a 3',)","('k6a 4',)",k6a 0_pred,k6a 1_pred,k6a 2_pred,k6a 3_pred,k6a 4_pred
3800,0.9307,0.0669,0.0024,0.0001,0.0,0.94017136,0.060656056,0.0,0.0,0.0
3801,0.5232,0.3386,0.1098,0.0239,0.004,0.52257574,0.33817706,0.107711725,0.0,0.0
3802,0.5232,0.3386,0.1098,0.0239,0.004,0.5271019,0.3346102,0.10997051,0.0,0.0
3803,0.9307,0.0669,0.0024,0.0001,0.0,0.9305493,0.066745535,0.0,0.0,0.0
3804,0.9307,0.0669,0.0024,0.0001,0.0,0.93161684,0.06665944,0.0,0.0,0.0
3805,0.5232,0.3386,0.1098,0.0239,0.004,0.52367914,0.33748388,0.10959288,0.0,0.0
3806,0.5232,0.3386,0.1098,0.0239,0.004,0.52131116,0.33972177,0.1088919,0.0,0.0
3807,0.9307,0.0669,0.0024,0.0001,0.0,0.938518,0.062474135,0.0,0.0,0.0
3808,0.9307,0.0669,0.0024,0.0001,0.0,0.9301553,0.06671853,0.0,0.0,0.0
3809,0.9307,0.0669,0.0024,0.0001,0.0,0.9318287,0.06648688,0.0,0.0,0.0
3810,0.5232,0.3386,0.1098,0.0239,0.004,0.5285401,0.33838472,0.114598006,0.0,0.0
3811,0.5232,0.3386,0.1098,0.0239,0.004,0.5254629,0.33616424,0.111131385,0.0,0.0
3812,0.5232,0.3386,0.1098,0.0239,0.004,0.5229726,0.3391805,0.11010956,0.0,0.0
3813,0.9307,0.0669,0.0024,0.0001,0.0,0.9286458,0.06755784,0.0,0.0,0.0
3814,0.5232,0.3386,0.1098,0.0239,0.004,0.5241047,0.33897805,0.11037022,0.0,0.0
3815,0.9307,0.0669,0.0024,0.0001,0.0,0.93667,0.06430911,0.0,0.0,0.0
3816,0.9307,0.0669,0.0024,0.0001,0.0,0.93164635,0.06689717,0.0,0.0,0.0
3817,0.9307,0.0669,0.0024,0.0001,0.0,0.9293846,0.06432982,0.0,0.0,0.0
3818,0.5232,0.3386,0.1098,0.0239,0.004,0.52273685,0.33567032,0.11020145,0.0,0.0
