,"('k1 0',)","('k1 1',)","('k1 2',)","('k1 3',)","('k1 4',)",k1 0_pred,k1 1_pred,k1 2_pred,k1 3_pred,k1 4_pred
4435,0.7501,0.2155,0.031,0.003,0.0002,0.75235057,0.21143666,0.0,0.0,0.0
4436,0.9686,0.0309,0.0005,0.0,0.0,0.96645665,0.029697675,0.0,0.0,0.0
4437,0.9686,0.0309,0.0005,0.0,0.0,0.96972835,0.029362474,0.0,0.0,0.0
4438,0.9686,0.0309,0.0005,0.0,0.0,0.9669789,0.030377392,0.0,0.0,0.0
4439,0.7501,0.2155,0.031,0.003,0.0002,0.7505164,0.21311857,0.0,0.0,0.0
4440,0.7501,0.2155,0.031,0.003,0.0002,0.74571395,0.21670559,0.0,0.0,0.0
4441,0.7501,0.2155,0.031,0.003,0.0002,0.74498165,0.21790878,0.0,0.005443206,0.0
4442,0.9686,0.0309,0.0005,0.0,0.0,0.9554391,0.042776722,0.0,0.0,0.0
4443,0.7501,0.2155,0.031,0.003,0.0002,0.75017846,0.21622376,0.0,0.0,0.0
4444,0.7501,0.2155,0.031,0.003,0.0002,0.7484702,0.2150174,0.0,0.0,0.0
4445,0.9686,0.0309,0.0005,0.0,0.0,0.9666345,0.031168703,0.0,0.0,0.0
4446,0.7501,0.2155,0.031,0.003,0.0002,0.75017345,0.21598677,0.0,0.0,0.0
4447,0.7501,0.2155,0.031,0.003,0.0002,0.7450224,0.21915229,0.0,0.0,0.0
4448,0.7501,0.2155,0.031,0.003,0.0002,0.7371322,0.218136,0.0,0.0,0.0
4449,0.9686,0.0309,0.0005,0.0,0.0,0.9588751,0.03275758,0.0,0.0,0.0
4450,0.9686,0.0309,0.0005,0.0,0.0,0.966511,0.027610004,0.0,0.0,0.0
4451,0.7501,0.2155,0.031,0.003,0.0002,0.74820423,0.216492,0.0,0.0,0.0
4452,0.9686,0.0309,0.0005,0.0,0.0,0.96595263,0.03237312,0.0,0.0,0.0
