,main_maximum,all_maxima,no_of_max,Intensity,k6a1,k6a2,k11,k12,k9a1,k9a2,Energy_highest_max_normalized,Energy_all_max_normalized
29,0.736,"[-0.932 -0.772 -0.736 -0.628 -0.492 -0.424 -0.338 -0.17  -0.106 -0.03
  0.122  0.204  0.272  0.454  0.508  0.588  0.736  0.81   0.864  0.906]",20,"[1.98896518 5.84492191 6.95060946 3.87222748 6.23262274 6.79564181
 2.07666152 5.90612887 4.89678009 3.66811898 6.2364481  4.06577662
 3.23844068 5.99190611 4.05304392 5.1130726  7.51989922 2.55148261
 4.31375456 2.51571244]",0.25,0.25,0.5,0.25,0.25,0.75,0.868,"[0.034 0.114 0.132 0.186 0.254 0.288 0.331 0.415 0.447 0.485 0.561 0.602
 0.636 0.727 0.754 0.794 0.868 0.905 0.932 0.953]"
30,-0.702,"[-0.932 -0.774 -0.702 -0.628 -0.488 -0.424 -0.342 -0.17  -0.076 -0.034
  0.042  0.134  0.206  0.278  0.454  0.51   0.588  0.67   0.726  0.812
  0.864]",21,"[1.96506271 5.05189487 6.8599268  3.74617002 6.54051295 6.71893638
 1.99011071 5.81058848 4.52381357 3.95422554 3.12283216 5.15379069
 4.28571445 2.84379735 5.86984695 4.17086142 5.23634869 3.77199517
 5.60271967 2.62417868 4.26716604]",0.25,0.25,0.5,0.25,0.5,0.25,0.14900000000000002,"[0.034 0.113 0.149 0.186 0.256 0.288 0.329 0.415 0.462 0.483 0.521 0.567
 0.603 0.639 0.727 0.755 0.794 0.835 0.863 0.906 0.932]"
31,-0.57,[-0.57  -0.048  0.038  0.592  0.662],5,[21.7665112 10.8260537 14.1871573 11.6748596 14.2256572],0.25,0.25,0.5,0.25,0.5,0.5,0.21500000000000002,[0.215 0.476 0.519 0.796 0.831]
32,-0.702,"[-0.932 -0.774 -0.702 -0.628 -0.488 -0.424 -0.342 -0.17  -0.076 -0.034
  0.042  0.134  0.206  0.278  0.454  0.51   0.588  0.67   0.726  0.812
  0.864]",21,"[1.96513486 5.05191407 6.85940943 3.74639172 6.54051166 6.71876687
 1.99026202 5.81016728 4.52331626 3.95402414 3.12267597 5.15357073
 4.28577493 2.84385049 5.8701759  4.17044796 5.23595053 3.77212585
 5.6028257  2.62438726 4.2677086 ]",0.25,0.25,0.5,0.25,0.5,0.75,0.14900000000000002,"[0.034 0.113 0.149 0.186 0.256 0.288 0.329 0.415 0.462 0.483 0.521 0.567
 0.603 0.639 0.727 0.755 0.794 0.835 0.863 0.906 0.932]"
33,0.736,"[-0.932 -0.772 -0.736 -0.628 -0.492 -0.424 -0.338 -0.17  -0.106 -0.03
  0.122  0.204  0.272  0.454  0.506  0.588  0.736  0.81   0.864  0.908]",20,"[1.98969652 5.84602194 6.94636557 3.87260316 6.23458105 6.79158697
 2.07856821 5.91059795 4.90041265 3.66989756 6.23007563 4.06708718
 3.24164795 5.98960639 4.05167966 5.11501695 7.52863113 2.56103572
 4.31029478 2.5138448 ]",0.25,0.25,0.5,0.25,0.75,0.25,0.868,"[0.034 0.114 0.132 0.186 0.254 0.288 0.331 0.415 0.447 0.485 0.561 0.602
 0.636 0.727 0.753 0.794 0.868 0.905 0.932 0.954]"
34,-0.574,[-0.574 -0.046  0.036  0.594  0.66 ],5,[23.9347349 10.7743192 14.5580282 11.2111413 14.435579 ],0.25,0.25,0.5,0.25,0.75,0.5,0.21300000000000002,[0.213 0.477 0.518 0.797 0.83 ]
35,0.73,"[-0.922 -0.776 -0.702 -0.624 -0.49  -0.42  -0.172 -0.076 -0.028  0.112
  0.208  0.278  0.452  0.498  0.538  0.59   0.73   0.818  0.868]",19,"[2.30200604 5.28161442 6.99343775 3.36330574 6.80959785 6.69394002
 5.72217878 4.31043763 3.74447103 6.17409732 3.95970746 3.11490813
 5.84637371 3.86096138 3.29025223 5.24074767 8.31810277 2.81644403
 4.37430774]",0.25,0.25,0.5,0.25,0.75,0.75,0.865,"[0.039 0.112 0.149 0.188 0.255 0.29  0.414 0.462 0.486 0.556 0.604 0.639
 0.726 0.749 0.769 0.795 0.865 0.909 0.934]"
36,0.2,[-0.108  0.2    0.48   0.828  0.87 ],5,[13.7666277 26.6819454 26.1967518 14.1385817 13.9018763],0.25,0.25,0.5,0.5,0.25,0.25,0.6,[0.446 0.6   0.74  0.914 0.935]
37,0.922,[-0.83   0.922],2,[15.7886217 56.8418737],0.25,0.25,0.5,0.5,0.25,0.5,0.9610000000000001,[0.085 0.961]
38,0.468,[-0.126  0.182  0.468  0.806  0.854],5,[13.2460566 26.9444314 27.0365715 14.4286992 13.3633164],0.25,0.25,0.5,0.5,0.25,0.75,0.734,[0.437 0.591 0.734 0.903 0.927]
