,Energy,Intensity,k6a1,k6a2,k11,k12,k9a1,k9a2
26,0.868,0.021955036376495145,0.25,0.25,0.25,0.75,0.75,0.75
27,0.865,0.021093920983802694,0.25,0.25,0.5,0.25,0.25,0.25
28,0.21300000000000002,0.060719659911108864,0.25,0.25,0.5,0.25,0.25,0.5
29,0.868,0.019076913134783186,0.25,0.25,0.5,0.25,0.25,0.75
30,0.14900000000000002,0.017402657116270658,0.25,0.25,0.5,0.25,0.5,0.25
31,0.21500000000000002,0.0552185383422845,0.25,0.25,0.5,0.25,0.5,0.5
32,0.14900000000000002,0.017401344622278415,0.25,0.25,0.5,0.25,0.5,0.75
33,0.868,0.019099064746619644,0.25,0.25,0.5,0.25,0.75,0.25
34,0.21300000000000002,0.06071901301243283,0.25,0.25,0.5,0.25,0.75,0.5
35,0.865,0.021101841839509302,0.25,0.25,0.5,0.25,0.75,0.75
36,0.6,0.06768829471930446,0.25,0.25,0.5,0.5,0.25,0.25
37,0.9610000000000001,0.1441997366280152,0.25,0.25,0.5,0.5,0.25,0.5
38,0.734,0.0685879306196147,0.25,0.25,0.5,0.5,0.25,0.75
39,0.734,0.07057989932942509,0.25,0.25,0.5,0.5,0.5,0.25
40,0.969,0.13027541513257498,0.25,0.25,0.5,0.5,0.5,0.5
41,0.734,0.07060918481301803,0.25,0.25,0.5,0.5,0.5,0.75
42,0.734,0.06908231215113342,0.25,0.25,0.5,0.5,0.75,0.25
43,0.9610000000000001,0.1447563383963099,0.25,0.25,0.5,0.5,0.75,0.5
44,0.6,0.06712465291761412,0.25,0.25,0.5,0.5,0.75,0.75
45,0.865,0.021098624951920525,0.25,0.25,0.5,0.75,0.25,0.25
46,0.21300000000000002,0.06072117416138232,0.25,0.25,0.5,0.75,0.25,0.5
47,0.868,0.01908566719598453,0.25,0.25,0.5,0.75,0.25,0.75
48,0.14900000000000002,0.017402409595079202,0.25,0.25,0.5,0.75,0.5,0.25
49,0.21500000000000002,0.05617054614466388,0.25,0.25,0.5,0.75,0.5,0.5
50,0.14900000000000002,0.017403150205273256,0.25,0.25,0.5,0.75,0.5,0.75
51,0.868,0.01908410946397263,0.25,0.25,0.5,0.75,0.75,0.25
52,0.21300000000000002,0.06072859396235361,0.25,0.25,0.5,0.75,0.75,0.5
53,0.865,0.021092568559672564,0.25,0.25,0.5,0.75,0.75,0.75
54,0.868,0.021990323456212903,0.25,0.25,0.75,0.25,0.25,0.25
55,0.21200000000000002,0.06313829330640165,0.25,0.25,0.75,0.25,0.25,0.5
56,0.864,0.02184155309808642,0.25,0.25,0.75,0.25,0.25,0.75
57,0.864,0.02110935943633927,0.25,0.25,0.75,0.25,0.5,0.25
58,0.22099999999999997,0.05834011543173722,0.25,0.25,0.75,0.25,0.5,0.5
59,0.864,0.021111708617170596,0.25,0.25,0.75,0.25,0.5,0.75
60,0.864,0.021857692281416315,0.25,0.25,0.75,0.25,0.75,0.25
61,0.21200000000000002,0.06319446212317051,0.25,0.25,0.75,0.25,0.75,0.5
62,0.868,0.02192717759622148,0.25,0.25,0.75,0.25,0.75,0.75
63,0.755,0.03421339509444963,0.25,0.25,0.75,0.5,0.25,0.25
64,0.962,0.1455735776706671,0.25,0.25,0.75,0.5,0.25,0.5
65,0.733,0.0688907471877837,0.25,0.25,0.75,0.5,0.25,0.75
66,0.591,0.0694377007794325,0.25,0.25,0.75,0.5,0.5,0.25
67,0.986,0.07065083113503846,0.25,0.25,0.75,0.5,0.5,0.5
68,0.591,0.06944468956830552,0.25,0.25,0.75,0.5,0.5,0.75
69,0.733,0.06983799483065044,0.25,0.25,0.75,0.5,0.75,0.25
70,0.9610000000000001,0.14562135659213632,0.25,0.25,0.75,0.5,0.75,0.5
71,0.755,0.034338589775752215,0.25,0.25,0.75,0.5,0.75,0.75
72,0.873,0.020077596612408283,0.25,0.25,0.75,0.75,0.25,0.25
73,0.21300000000000002,0.06061457388488665,0.25,0.25,0.75,0.75,0.25,0.5
74,0.866,0.0201558613823589,0.25,0.25,0.75,0.75,0.25,0.75
75,0.867,0.01960301926232642,0.25,0.25,0.75,0.75,0.5,0.25
76,0.21999999999999997,0.06033323130853312,0.25,0.25,0.75,0.75,0.5,0.5
