,main_maximum,all_maxima,no_of_max,k6a1,k6a2,k11,k12,k9a1,k9a2,Energy_highest_max_normalized,Energy_all_max_normalized
85,-0.426,[-0.426],1,0.25,0.5,0.25,0.25,0.5,0.5,0.28700000000000003,[0.287]
86,-0.632,[-0.938 -0.632 -0.346  0.046  0.804],5,0.25,0.5,0.25,0.25,0.5,0.75,0.184,[0.031 0.184 0.327 0.523 0.902]
87,-0.638,[-0.94  -0.638 -0.344  0.044  0.802],5,0.25,0.5,0.25,0.25,0.75,0.25,0.181,[0.03  0.181 0.328 0.522 0.901]
88,-0.428,[-0.428],1,0.25,0.5,0.25,0.25,0.75,0.5,0.28600000000000003,[0.286]
89,-0.63,[-0.94  -0.63  -0.348  0.044  0.8  ],5,0.25,0.5,0.25,0.25,0.75,0.75,0.185,[0.03  0.185 0.326 0.522 0.9  ]
90,-0.754,[-0.754 -0.69 ],2,0.25,0.5,0.25,0.5,0.25,0.25,0.123,[0.123 0.155]
91,0.462,[0.462],1,0.25,0.5,0.25,0.5,0.25,0.5,0.731,[0.731]
92,-0.756,[-0.756],1,0.25,0.5,0.25,0.5,0.25,0.75,0.122,[0.122]
93,-0.756,[-0.756],1,0.25,0.5,0.25,0.5,0.5,0.25,0.122,[0.122]
94,0.462,[0.462],1,0.25,0.5,0.25,0.5,0.5,0.5,0.731,[0.731]
95,-0.756,[-0.756],1,0.25,0.5,0.25,0.5,0.5,0.75,0.122,[0.122]
96,-0.756,[-0.756],1,0.25,0.5,0.25,0.5,0.75,0.25,0.122,[0.122]
97,0.462,[0.462],1,0.25,0.5,0.25,0.5,0.75,0.5,0.731,[0.731]
98,-0.754,[-0.754 -0.69 ],2,0.25,0.5,0.25,0.5,0.75,0.75,0.123,[0.123 0.155]
99,-0.628,[-0.934 -0.628 -0.346  0.05   0.802],5,0.25,0.5,0.25,0.75,0.25,0.25,0.186,[0.033 0.186 0.327 0.525 0.901]
100,-0.424,[-0.424],1,0.25,0.5,0.25,0.75,0.25,0.5,0.28800000000000003,[0.288]
101,-0.63,[-0.938 -0.63  -0.35   0.042  0.804],5,0.25,0.5,0.25,0.75,0.25,0.75,0.185,[0.031 0.185 0.325 0.521 0.902]
102,-0.63,[-0.938 -0.63  -0.358  0.044  0.804],5,0.25,0.5,0.25,0.75,0.5,0.25,0.185,[0.031 0.185 0.321 0.522 0.902]
103,-0.44,[-0.44],1,0.25,0.5,0.25,0.75,0.5,0.5,0.28,[0.28]
104,-0.63,[-0.938 -0.63  -0.358  0.044  0.804],5,0.25,0.5,0.25,0.75,0.5,0.75,0.185,[0.031 0.185 0.321 0.522 0.902]
105,-0.63,[-0.938 -0.63  -0.35   0.042  0.804],5,0.25,0.5,0.25,0.75,0.75,0.25,0.185,[0.031 0.185 0.325 0.521 0.902]
106,-0.424,[-0.424],1,0.25,0.5,0.25,0.75,0.75,0.5,0.28800000000000003,[0.288]
107,-0.628,[-0.934 -0.628 -0.346  0.05   0.802],5,0.25,0.5,0.25,0.75,0.75,0.75,0.186,[0.033 0.186 0.327 0.525 0.901]
108,-0.628,[-0.936 -0.628 -0.346  0.046  0.802],5,0.25,0.5,0.5,0.25,0.25,0.25,0.186,[0.032 0.186 0.327 0.523 0.901]
109,-0.432,[-0.432],1,0.25,0.5,0.5,0.25,0.25,0.5,0.28400000000000003,[0.284]
110,-0.63,[-0.938 -0.63  -0.346  0.044  0.804],5,0.25,0.5,0.5,0.25,0.25,0.75,0.185,[0.031 0.185 0.327 0.522 0.902]
111,-0.63,[-0.938 -0.63  -0.348  0.042  0.804],5,0.25,0.5,0.5,0.25,0.5,0.25,0.185,[0.031 0.185 0.326 0.521 0.902]
112,-0.428,[-0.428],1,0.25,0.5,0.5,0.25,0.5,0.5,0.28600000000000003,[0.286]
