delta,main_maximum,all_maxima,no_of_max,Intensity
0.4391919191919192,0.908,"[0.372 0.408 0.444 0.456 0.48  0.526 0.562 0.596 0.632 0.668 0.682 0.718
 0.752 0.788 0.838 0.908]",16,"[0.03054568 0.03083737 0.0311659  0.03113837 0.03137069 0.03182959
 0.03210281 0.03261014 0.03290426 0.03337153 0.0334294  0.03393096
 0.03441529 0.03487556 0.03551694 0.03662767]"
0.4371717171717172,0.934,[0.492 0.524 0.596 0.678 0.75  0.764 0.78  0.836 0.852 0.868 0.922 0.934],12,"[0.03203163 0.03240065 0.03328758 0.03431296 0.03537134 0.03538252
 0.03542482 0.03649809 0.03662623 0.03659012 0.03788104 0.037891  ]"
0.4412121212121212,0.9740000000000001,"[0.356 0.392 0.426 0.462 0.498 0.534 0.58  0.614 0.652 0.688 0.74  0.79
 0.822 0.858 0.896 0.934 0.974]",17,"[0.0300096  0.03024305 0.03052727 0.03087035 0.03107081 0.03153245
 0.03175147 0.03226818 0.03251475 0.03303821 0.0334444  0.03420872
 0.0345369  0.03531369 0.03563902 0.03643654 0.03698477]"
0.4432323232323233,0.9840000000000001,"[-0.982 -0.946 -0.932  0.294  0.312  0.326  0.364  0.396  0.432  0.468
  0.48   0.516  0.552  0.586  0.638  0.862  0.934  0.984]",18,"[0.02928188 0.02905068 0.02905683 0.02931144 0.02939669 0.02940866
 0.02969827 0.02996388 0.03011535 0.03043061 0.03045021 0.03073893
 0.03109111 0.03134692 0.03183862 0.03434884 0.0353002  0.03612688]"
0.4533333333333334,0.998,[0.998],1,[0.0328326]
0.4694949494949495,-0.9840000000000001,"[-0.984 -0.978 -0.92  -0.908 -0.856 -0.786 -0.728 -0.662 -0.61  -0.542
 -0.472 -0.404 -0.39  -0.354 -0.32  -0.284]",16,"[0.0365856  0.0365843  0.03555575 0.03556371 0.0347234  0.0338996
 0.03313933 0.03237175 0.03182229 0.03120743 0.03064672 0.03006887
 0.03002641 0.02977256 0.02958225 0.02929996]"
0.4654545454545455,-0.9940000000000001,[-0.994],1,[0.03496138]
0.4775757575757576,-0.684,[-0.684 -0.616],2,[0.03533941 0.03438273]
0.4715151515151516,-0.972,"[-0.972 -0.936 -0.898 -0.886 -0.814 -0.748 -0.73  -0.676 -0.662 -0.604
 -0.592 -0.524 -0.454 -0.4   -0.384]",15,"[0.03718696 0.03679873 0.03587465 0.03587156 0.03482769 0.03387297
 0.03378428 0.03304094 0.03301184 0.0322594  0.03232775 0.03169287
 0.03109873 0.030489   0.03053951]"
0.4735353535353535,-0.968,[-0.968 -0.934 -0.9   -0.812 -0.762 -0.692 -0.624 -0.504 -0.47 ],9,"[0.03821304 0.03746929 0.03692426 0.03551383 0.03489718 0.03396499
 0.03313484 0.03183387 0.03150051]"
