,,Energy,Intensity
spectrum23,19,0.862,4.21779856
spectrum23,20,0.908,2.4943733
spectrum24,0,-0.93,1.93332391
spectrum24,1,-0.87,1.22157936
spectrum24,2,-0.774,5.00145483
spectrum24,3,-0.704,6.93061022
spectrum24,4,-0.63,3.8550757
spectrum24,5,-0.488,6.31556866
spectrum24,6,-0.424,6.86166607
spectrum24,7,-0.344,1.99756668
spectrum24,8,-0.27,1.37034019
spectrum24,9,-0.168,5.73450672
spectrum24,10,-0.076,5.16618895
spectrum24,11,-0.034,4.05423652
spectrum24,12,0.112,6.06227667
spectrum24,13,0.204,4.18170992
spectrum24,14,0.282,3.05698941
spectrum24,15,0.454,5.88681366
spectrum24,16,0.512,4.16146842
spectrum24,17,0.586,5.03581464
spectrum24,18,0.728,8.59208187
spectrum24,19,0.818,2.52879497
spectrum24,20,0.864,4.07276369
spectrum25,0,-0.692,3.7327684
spectrum25,1,-0.576,24.8768968
spectrum25,2,-0.278,2.70387484
spectrum25,3,-0.044,11.4704353
spectrum25,4,0.04,13.658432399999999
spectrum25,5,0.614,9.51208658
spectrum25,6,0.662,14.4496024
spectrum26,0,-0.872,1.32745808
spectrum26,1,-0.772,5.05761406
spectrum26,2,-0.706,6.99203719
spectrum26,3,-0.612,3.48579752
spectrum26,4,-0.488,6.50959102
spectrum26,5,-0.424,6.83764856
spectrum26,6,-0.34,2.07124451
spectrum26,7,-0.262,1.28364349
spectrum26,8,-0.17,5.75558269
spectrum26,9,-0.082,4.50029827
spectrum26,10,-0.032,3.94987598
spectrum26,11,0.114,6.16060051
spectrum26,12,0.202,3.9024263
spectrum26,13,0.27,3.38756934
spectrum26,14,0.454,5.84166073
spectrum26,15,0.502,3.86856745
spectrum26,16,0.586,5.19085869
spectrum26,17,0.736,8.65442222
spectrum26,18,0.864,4.17241345
spectrum27,0,-0.922,2.30490799
spectrum27,1,-0.776,5.28161077
spectrum27,2,-0.702,6.99120829
spectrum27,3,-0.624,3.36378093
spectrum27,4,-0.49,6.81135218
spectrum27,5,-0.42,6.69216427
spectrum27,6,-0.272,1.34802233
spectrum27,7,-0.172,5.72079977
spectrum27,8,-0.076,4.30837624
spectrum27,9,-0.03,3.74442183
spectrum27,10,0.112,6.17095026
spectrum27,11,0.208,3.96069002
spectrum27,12,0.278,3.11620466
spectrum27,13,0.452,5.84407982
spectrum27,14,0.498,3.86131318
spectrum27,15,0.538,3.29321617
spectrum27,16,0.59,5.23955443
spectrum27,17,0.73,8.31498046
spectrum27,18,0.818,2.81615158
spectrum27,19,0.868,4.37254105
spectrum28,0,-0.69,3.72699182
spectrum28,1,-0.574,23.934989899999998
spectrum28,2,-0.28,2.78952304
spectrum28,3,-0.046,10.7747462
spectrum28,4,0.036,14.5589483
spectrum28,5,0.594,11.2119826
spectrum28,6,0.66,14.434744199999997
spectrum29,0,-0.932,1.98896518
spectrum29,1,-0.874,1.29008724
spectrum29,2,-0.772,5.84492191
spectrum29,3,-0.736,6.95060946
spectrum29,4,-0.628,3.87222748
spectrum29,5,-0.492,6.23262274
spectrum29,6,-0.424,6.79564181
spectrum29,7,-0.338,2.07666152
spectrum29,8,-0.26,1.35975664
spectrum29,9,-0.17,5.90612887
spectrum29,10,-0.106,4.89678009
spectrum29,11,-0.03,3.66811898
spectrum29,12,0.122,6.2364481
spectrum29,13,0.204,4.06577662
spectrum29,14,0.272,3.23844068
spectrum29,15,0.454,5.99190611
spectrum29,16,0.508,4.05304392
spectrum29,17,0.588,5.1130726
spectrum29,18,0.736,7.51989922
spectrum29,19,0.81,2.55148261
spectrum29,20,0.864,4.31375456
spectrum29,21,0.906,2.51571244
spectrum30,0,-0.932,1.96506271
spectrum30,1,-0.876,1.29975802
spectrum30,2,-0.774,5.05189487
spectrum30,3,-0.702,6.8599268
spectrum30,4,-0.628,3.74617002
spectrum30,5,-0.488,6.54051295
spectrum30,6,-0.424,6.71893638
spectrum30,7,-0.342,1.99011071
spectrum30,8,-0.258,1.25610599
spectrum30,9,-0.17,5.81058848
spectrum30,10,-0.076,4.52381357
spectrum30,11,-0.034,3.95422554
spectrum30,12,0.042,3.12283216
spectrum30,13,0.134,5.15379069
spectrum30,14,0.206,4.28571445
spectrum30,15,0.278,2.84379735
spectrum30,16,0.454,5.86984695
spectrum30,17,0.51,4.17086142
spectrum30,18,0.588,5.23634869
spectrum30,19,0.67,3.77199517
spectrum30,20,0.726,5.60271967
spectrum30,21,0.812,2.62417868
spectrum30,22,0.864,4.26716604
spectrum31,0,-0.696,3.44800423
spectrum31,1,-0.57,21.7665112
spectrum31,2,-0.274,2.67183976
spectrum31,3,-0.048,10.8260537
spectrum31,4,0.038,14.1871573
spectrum31,5,0.592,11.6748596
spectrum31,6,0.662,14.225657199999999
spectrum32,0,-0.932,1.96513486
spectrum32,1,-0.876,1.29974786
spectrum32,2,-0.774,5.05191407
spectrum32,3,-0.702,6.85940943
spectrum32,4,-0.628,3.74639172
spectrum32,5,-0.488,6.54051166
spectrum32,6,-0.424,6.71876687
spectrum32,7,-0.342,1.99026202
spectrum32,8,-0.258,1.25591702
spectrum32,9,-0.17,5.81016728
spectrum32,10,-0.076,4.52331626
spectrum32,11,-0.034,3.95402414
spectrum32,12,0.042,3.12267597
spectrum32,13,0.134,5.15357073
spectrum32,14,0.206,4.28577493
spectrum32,15,0.278,2.84385049
spectrum32,16,0.454,5.8701759
spectrum32,17,0.51,4.17044796
spectrum32,18,0.588,5.23595053
spectrum32,19,0.67,3.77212585
spectrum32,20,0.726,5.6028257
spectrum32,21,0.812,2.62438726
spectrum32,22,0.864,4.2677086
spectrum33,0,-0.932,1.98969652
spectrum33,1,-0.874,1.29104399
spectrum33,2,-0.772,5.84602194
spectrum33,3,-0.736,6.94636557
spectrum33,4,-0.628,3.87260316
spectrum33,5,-0.492,6.23458105
spectrum33,6,-0.424,6.79158697
spectrum33,7,-0.338,2.07856821
spectrum33,8,-0.26,1.3573909
spectrum33,9,-0.17,5.91059795
spectrum33,10,-0.106,4.90041265
spectrum33,11,-0.03,3.66989756
spectrum33,12,0.122,6.23007563
spectrum33,13,0.204,4.06708718
spectrum33,14,0.272,3.24164795
spectrum33,15,0.454,5.98960639
spectrum33,16,0.506,4.05167966
spectrum33,17,0.588,5.11501695
spectrum33,18,0.736,7.52863113
spectrum33,19,0.81,2.56103572
spectrum33,20,0.864,4.31029478
spectrum33,21,0.908,2.5138448
spectrum34,0,-0.69,3.72699396
spectrum34,1,-0.574,23.9347349
spectrum34,2,-0.28,2.78952615
spectrum34,3,-0.046,10.774319199999999
spectrum34,4,0.036,14.5580282
spectrum34,5,0.594,11.2111413
spectrum34,6,0.66,14.435579
spectrum35,0,-0.922,2.30200604
spectrum35,1,-0.776,5.28161442
spectrum35,2,-0.702,6.99343775
spectrum35,3,-0.624,3.36330574
spectrum35,4,-0.49,6.80959785
spectrum35,5,-0.42,6.69394002
spectrum35,6,-0.274,1.34905937
spectrum35,7,-0.172,5.72217878
spectrum35,8,-0.076,4.31043763
spectrum35,9,-0.028,3.74447103
spectrum35,10,0.112,6.17409732
spectrum35,11,0.208,3.95970746
spectrum35,12,0.278,3.11490813
spectrum35,13,0.452,5.84637371
